DATE,PRS30006013
1987-01-01,146.432
1987-04-01,146.563
1987-07-01,147.160
1987-10-01,149.034
1988-01-01,149.198
1988-04-01,149.722
1988-07-01,149.975
1988-10-01,150.745
1989-01-01,151.097
1989-04-01,150.925
1989-07-01,150.843
1989-10-01,150.164
1990-01-01,149.476
1990-04-01,149.640
1990-07-01,148.118
1990-10-01,146.833
1991-01-01,144.354
1991-04-01,143.642
1991-07-01,142.881
1991-10-01,142.398
1992-01-01,141.023
1992-04-01,141.039
1992-07-01,140.556
1992-10-01,140.982
1993-01-01,140.761
1993-04-01,140.917
1993-07-01,141.023
1993-10-01,141.448
1994-01-01,141.457
1994-04-01,141.997
1994-07-01,143.339
1994-10-01,144.558
1995-01-01,145.082
1995-04-01,145.041
1995-07-01,144.624
1995-10-01,144.648
1996-01-01,144.787
1996-04-01,144.591
1996-07-01,144.509
1996-10-01,144.885
1997-01-01,145.254
1997-04-01,145.630
1997-07-01,145.933
1997-10-01,147.062
1998-01-01,147.578
1998-04-01,147.897
1998-07-01,146.628
1998-10-01,146.686
1999-01-01,145.450
1999-04-01,144.885
1999-07-01,145.008
1999-10-01,144.329
2000-01-01,144.403
2000-04-01,145.270
2000-07-01,144.517
2000-10-01,143.879
2001-01-01,142.439
2001-04-01,139.476
2001-07-01,136.620
2001-10-01,132.717
2002-01-01,130.106
2002-04-01,128.249
2002-07-01,127.324
2002-10-01,125.802
2003-01-01,124.362
2003-04-01,122.160
2003-07-01,120.720
2003-10-01,120.221
2004-01-01,120.139
2004-04-01,120.033
2004-07-01,120.213
2004-10-01,120.336
2005-01-01,120.025
2005-04-01,119.787
2005-07-01,119.075
2005-10-01,119.354
2006-01-01,119.738
2006-04-01,119.484
2006-07-01,118.478
2006-10-01,117.758
2007-01-01,117.946
2007-04-01,117.414
2007-07-01,116.358
2007-10-01,115.630
2008-01-01,115.016
2008-04-01,114.108
2008-07-01,112.291
2008-10-01,109.280
2009-01-01,104.288
2009-04-01,100.065
2009-07-01,98.470
2009-10-01,97.193
2010-01-01,96.784
2010-04-01,97.070
2010-07-01,97.373
2010-10-01,97.578
2011-01-01,98.110
2011-04-01,98.453
2011-07-01,98.331
2011-10-01,99.108
2012-01-01,99.836
2012-04-01,100.385
2012-07-01,100.622
2012-10-01,100.630
2013-01-01,101.187
2013-04-01,100.614
2013-07-01,100.827
2013-10-01,101.342
2014-01-01,101.915
2014-04-01,101.907
2014-07-01,102.340
2014-10-01,103.191
2015-01-01,103.290
2015-04-01,103.396
2015-07-01,103.519
2015-10-01,103.732
2016-01-01,103.273
2016-04-01,103.028
2016-07-01,103.052
2016-10-01,103.061
